YEAR,%UNWEIGHTED ILI,ILITOTAL,TOTAL PATIENTS
2016.0,2.22398,169.0,7599.0
2016.0,0.940228,14.0,1489.0
2016.0,1.23442,309.0,25032.0
2016.0,0.917431,40.0,4360.0
2016.0,1.25288,668.0,53317.0
2016.0,0.77574,22.0,2836.0
2016.0,1.23552,64.0,5180.0
2016.0,0.104858,3.0,2861.0
2016.0,5.52486,160.0,2896.0
2016.0,1.62466,903.0,55581.0
2016.0,1.93133,27.0,1398.0
2016.0,0.373552,10.0,2677.0
2016.0,1.29539,640.0,49406.0
2016.0,0.999429,70.0,7004.0
2016.0,0.129116,4.0,3098.0
2016.0,0.840915,61.0,7254.0
2016.0,0.484322,116.0,23951.0
2016.0,1.55987,788.0,50517.0
2016.0,0.833484,46.0,5519.0
2016.0,0.588424,55.0,9347.0
2016.0,0.61873,177.0,28607.0
2016.0,0.858584,206.0,23993.0
2016.0,1.35371,62.0,4580.0
2016.0,1.94482,375.0,19282.0
2016.0,0.809969,65.0,8025.0
2016.0,0.0,0.0,3190.0
2016.0,0.335161,11.0,3282.0
2016.0,0.428964,75.0,17484.0
2016.0,0.249252,10.0,4012.0
2016.0,2.35421,371.0,15759.0
2016.0,1.12478,128.0,11380.0
2016.0,0.725918,115.0,15842.0
2016.0,0.830327,122.0,14693.0
2016.0,0.524109,5.0,954.0
2016.0,0.581257,122.0,20989.0
2016.0,0.738512,27.0,3656.0
2016.0,0.611951,34.0,5556.0
2016.0,0.931615,141.0,15135.0
2016.0,0.420008,22.0,5238.0
2016.0,1.77453,68.0,3832.0
2016.0,0.90833,76.0,8367.0
2016.0,1.71033,158.0,9238.0
2016.0,2.08692,654.0,31338.0
2016.0,1.12899,235.0,20815.0
2016.0,0.777202,15.0,1930.0
2016.0,1.5353,1352.0,88061.0
2016.0,0.350467,18.0,5136.0
2016.0,1.15475,177.0,15328.0
2016.0,1.11524,45.0,4035.0
2016.0,0.435256,20.0,4595.0
2016.0,4.05933,208.0,5124.0
2016.0,0.576369,2.0,347.0
2016.0,1.52094,1504.0,98886.0
2016.0,1.6809,124.0,7377.0
2016.0,1.15681,18.0,1556.0
2016.0,0.872229,262.0,30038.0
2016.0,0.815935,34.0,4167.0
2016.0,1.39291,760.0,54562.0
2016.0,1.20449,44.0,3653.0
2016.0,1.07,48.0,4486.0
2016.0,0.0687285,2.0,2910.0
2016.0,4.954,140.0,2826.0
2016.0,2.0006,1065.0,53234.0
2016.0,1.50171,22.0,1465.0
2016.0,0.32538,9.0,2766.0
2016.0,1.21637,571.0,46943.0
2016.0,0.960952,63.0,6556.0
2016.0,0.165472,6.0,3626.0
2016.0,0.792393,55.0,6941.0
2016.0,0.419714,101.0,24064.0
2016.0,1.66783,762.0,45688.0
2016.0,0.741152,40.0,5397.0
2016.0,0.742727,72.0,9694.0
2016.0,0.538175,150.0,27872.0
2016.0,0.931407,236.0,25338.0
2016.0,1.35184,75.0,5548.0
2016.0,2.04569,394.0,19260.0
2016.0,1.05737,87.0,8228.0
2016.0,0.255428,8.0,3132.0
2016.0,0.253991,7.0,2756.0
2016.0,0.450626,81.0,17975.0
2016.0,0.225035,8.0,3555.0
2016.0,2.4617,376.0,15274.0
2016.0,1.03073,110.0,10672.0
2016.0,0.945864,141.0,14907.0
2016.0,0.921955,129.0,13992.0
2016.0,0.15949,2.0,1254.0
2016.0,0.600673,125.0,20810.0
2016.0,2.26164,102.0,4510.0
2016.0,0.41806,25.0,5980.0
2016.0,0.743974,121.0,16264.0
2016.0,0.401038,17.0,4239.0
2016.0,1.3986,54.0,3861.0
2016.0,1.04034,90.0,8651.0
2016.0,1.54795,133.0,8592.0
2016.0,1.95234,571.0,29247.0
2016.0,0.808335,180.0,22268.0
2016.0,0.848593,19.0,2239.0
2016.0,1.64101,1407.0,85740.0
2016.0,0.48216,15.0,3111.0
2016.0,1.21442,218.0,17951.0
2016.0,0.949618,36.0,3791.0
2016.0,0.645578,30.0,4647.0
2016.0,4.36732,224.0,5129.0
2016.0,1.91083,6.0,314.0
2016.0,1.50792,1491.0,98878.0
2016.0,1.99635,153.0,7664.0
2016.0,0.501792,7.0,1395.0
2016.0,0.956952,321.0,33544.0
2016.0,0.997783,45.0,4510.0
2016.0,1.51631,812.0,53551.0
2016.0,1.08558,43.0,3961.0
2016.0,1.00688,41.0,4072.0
2016.0,0.171703,5.0,2912.0
2016.0,5.25217,151.0,2875.0
2016.0,1.96075,1114.0,56815.0
2016.0,1.45429,21.0,1444.0
2016.0,0.55991,10.0,1786.0
2016.0,1.48743,743.0,49952.0
2016.0,0.573431,36.0,6278.0
2016.0,0.117062,4.0,3417.0
2016.0,1.27355,96.0,7538.0
2016.0,0.638821,169.0,26455.0
2016.0,1.6578,767.0,46266.0
2016.0,0.847302,46.0,5429.0
2016.0,0.980293,97.0,9895.0
2016.0,0.677688,198.0,29217.0
2016.0,1.26664,314.0,24790.0
2016.0,1.05163,55.0,5230.0
2016.0,2.28732,424.0,18537.0
2016.0,1.03819,84.0,8091.0
2016.0,0.20552,7.0,3406.0
2016.0,0.27907,9.0,3225.0
2016.0,0.540632,96.0,17757.0
2016.0,0.219619,9.0,4098.0
2016.0,2.53861,383.0,15087.0
2016.0,0.9464,107.0,11306.0
2016.0,1.10167,175.0,15885.0
2016.0,0.951204,154.0,16190.0
2016.0,0.726216,10.0,1377.0
2016.0,0.57097,121.0,21192.0
2016.0,1.19471,47.0,3934.0
2016.0,0.70714,41.0,5798.0
2016.0,0.93133,150.0,16106.0
2016.0,0.703977,40.0,5682.0
2016.0,1.85556,102.0,5497.0
2016.0,0.826166,73.0,8836.0
2016.0,1.46531,143.0,9759.0
2016.0,1.84806,541.0,29274.0
2016.0,1.0424,192.0,18419.0
2016.0,0.551315,13.0,2358.0
2016.0,1.62658,1519.0,93386.0
2016.0,0.383142,20.0,5220.0
2016.0,0.49896,168.0,33670.0
2016.0,1.13122,45.0,3978.0
2016.0,0.640615,30.0,4683.0
2016.0,3.83944,198.0,5157.0
2016.0,1.37741,5.0,363.0
2016.0,1.61301,1659.0,102851.0
2016.0,2.40322,185.0,7698.0
2016.0,0.816327,12.0,1470.0
2016.0,1.17237,303.0,25845.0
2016.0,1.19597,57.0,4766.0
2016.0,1.52383,833.0,54665.0
2016.0,0.931521,37.0,3972.0
2016.0,1.14566,49.0,4277.0
2016.0,0.281591,8.0,2841.0
2016.0,5.56901,161.0,2891.0
2016.0,2.0084,1105.0,55019.0
2016.0,2.16886,28.0,1291.0
2016.0,0.791557,15.0,1895.0
2016.0,1.53786,742.0,48249.0
2016.0,0.544438,37.0,6796.0
2016.0,0.168431,7.0,4156.0
2016.0,0.730121,55.0,7533.0
2016.0,1.01945,260.0,25504.0
2016.0,1.74305,855.0,49052.0
2016.0,0.93744,49.0,5227.0
2016.0,0.840078,82.0,9761.0
2016.0,0.630021,189.0,29999.0
2016.0,1.25542,310.0,24693.0
2016.0,1.54139,73.0,4736.0
2016.0,2.60329,511.0,19629.0
2016.0,1.11033,95.0,8556.0
2016.0,0.142005,5.0,3521.0
2016.0,0.15758,5.0,3173.0
2016.0,0.58743,103.0,17534.0
2016.0,0.332305,14.0,4213.0
2016.0,2.65366,408.0,15375.0
2016.0,1.12684,125.0,11093.0
2016.0,0.898849,146.0,16243.0
2016.0,1.06549,184.0,17269.0
2016.0,0.966608,11.0,1138.0
2016.0,0.691365,145.0,20973.0
2016.0,2.9886,152.0,5086.0
2016.0,0.631649,38.0,6016.0
2016.0,0.92762,142.0,15308.0
2016.0,0.408466,22.0,5386.0
2016.0,1.92631,103.0,5347.0
2016.0,1.11313,98.0,8804.0
2016.0,1.52313,162.0,10636.0
2016.0,2.06247,589.0,28558.0
2016.0,0.834336,201.0,24091.0
2016.0,0.377992,9.0,2381.0
2016.0,1.85403,1673.0,90236.0
2016.0,0.43225,23.0,5321.0
2016.0,0.558143,169.0,30279.0
2016.0,0.951427,38.0,3994.0
2016.0,0.517598,25.0,4830.0
2016.0,5.19586,256.0,4927.0
2016.0,1.42045,5.0,352.0
2016.0,1.66295,1627.0,97838.0
2016.0,2.70133,213.0,7885.0
2016.0,0.533689,8.0,1499.0
2016.0,1.32646,265.0,19978.0
2016.0,1.32564,62.0,4677.0
2016.0,1.57619,849.0,53864.0
2016.0,0.388299,15.0,3863.0
2016.0,1.67144,70.0,4188.0
2016.0,0.40293,11.0,2730.0
2016.0,4.80318,133.0,2769.0
2016.0,2.36802,1334.0,56334.0
2016.0,2.30238,30.0,1303.0
2016.0,0.409417,8.0,1954.0
2016.0,1.66157,804.0,48388.0
2016.0,1.11749,74.0,6622.0
2016.0,0.0883913,3.0,3394.0
2016.0,0.785855,56.0,7126.0
2016.0,0.675377,168.0,24875.0
2016.0,1.86931,896.0,47932.0
2016.0,0.892028,48.0,5381.0
2016.0,0.951557,88.0,9248.0
2016.0,0.767178,230.0,29980.0
2016.0,1.63981,408.0,24881.0
2016.0,0.778458,61.0,7836.0
2016.0,2.92228,555.0,18992.0
2016.0,1.38921,120.0,8638.0
2016.0,0.112867,4.0,3544.0
2016.0,0.416295,14.0,3363.0
2016.0,0.877819,160.0,18227.0
2016.0,0.50438,19.0,3767.0
2016.0,2.76608,427.0,15437.0
2016.0,1.48677,154.0,10358.0
2016.0,0.918,148.0,16122.0
2016.0,0.949262,171.0,18014.0
2016.0,0.187091,2.0,1069.0
2016.0,0.75304,161.0,21380.0
2016.0,2.46645,136.0,5514.0
2016.0,1.05812,67.0,6332.0
2016.0,1.11433,177.0,15884.0
2016.0,0.45939,25.0,5442.0
2016.0,2.07612,108.0,5202.0
2016.0,0.981892,77.0,7842.0
2016.0,2.02179,206.0,10189.0
2016.0,2.01191,581.0,28878.0
2016.0,0.762672,178.0,23339.0
2016.0,0.228102,5.0,2192.0
2016.0,2.00273,1834.0,91575.0
2016.0,0.374016,19.0,5080.0
2016.0,0.696323,175.0,25132.0
2016.0,1.41216,59.0,4178.0
2016.0,0.707395,33.0,4665.0
2016.0,5.99241,221.0,3688.0
2016.0,2.00573,7.0,349.0
2016.0,1.90913,1929.0,101041.0
2016.0,2.46088,195.0,7924.0
2016.0,0.802469,13.0,1620.0
2016.0,1.03275,245.0,23723.0
2016.0,1.64953,77.0,4668.0
2016.0,1.74694,942.0,53923.0
2016.0,0.711744,28.0,3934.0
2016.0,1.74239,79.0,4534.0
2016.0,0.0359324,1.0,2783.0
2016.0,5.06375,139.0,2745.0
2016.0,2.59163,1434.0,55332.0
2016.0,2.0073,22.0,1096.0
2016.0,0.662927,13.0,1961.0
2016.0,1.77498,827.0,46592.0
2016.0,0.864731,56.0,6476.0
2016.0,0.405051,17.0,4197.0
2016.0,0.977827,71.0,7261.0
2016.0,0.691474,173.0,25019.0
2016.0,2.16614,897.0,41410.0
2016.0,0.595775,33.0,5539.0
2016.0,1.22094,115.0,9419.0
2016.0,0.679392,210.0,30910.0
2016.0,1.63886,391.0,23858.0
2016.0,0.673854,50.0,7420.0
2016.0,2.98825,575.0,19242.0
2016.0,1.25032,99.0,7918.0
2016.0,0.215285,6.0,2787.0
2016.0,0.584966,20.0,3419.0
2016.0,1.07815,189.0,17530.0
2016.0,0.461277,19.0,4119.0
2016.0,2.6012,356.0,13686.0
2016.0,1.35087,151.0,11178.0
2016.0,1.22738,194.0,15806.0
2016.0,1.40114,243.0,17343.0
2016.0,0.158604,2.0,1261.0
2016.0,0.761227,139.0,18260.0
2016.0,2.4456,118.0,4825.0
2016.0,1.35724,81.0,5968.0
