YEAR,WEEK,ILITOTAL,TOTAL PATIENTS
2016,40,169,7599
2016,40,14,1489
2016,40,309,25032
2016,40,40,4360
2016,40,668,53317
2016,40,22,2836
2016,40,64,5180
2016,40,3,2861
2016,40,160,2896
2016,40,903,55581
2016,40,27,1398
2016,40,10,2677
2016,40,640,49406
2016,40,70,7004
2016,40,4,3098
2016,40,61,7254
2016,40,116,23951
2016,40,788,50517
2016,40,46,5519
2016,40,55,9347
2016,40,177,28607
2016,40,206,23993
2016,40,62,4580
2016,40,375,19282
2016,40,65,8025
2016,40,0,3190
2016,40,11,3282
2016,40,75,17484
2016,40,10,4012
2016,40,371,15759
2016,40,128,11380
2016,40,115,15842
2016,40,122,14693
2016,40,5,954
2016,40,122,20989
2016,40,27,3656
2016,40,34,5556
2016,40,141,15135
2016,40,22,5238
2016,40,68,3832
2016,40,76,8367
2016,40,158,9238
2016,40,654,31338
2016,40,235,20815
2016,40,15,1930
2016,40,1352,88061
2016,40,18,5136
2016,40,177,15328
2016,40,45,4035
2016,40,20,4595
2016,40,208,5124
2016,40,2,347
2016,40,1504,98886
2016,41,124,7377
2016,41,18,1556
2016,41,262,30038
2016,41,34,4167
2016,41,760,54562
2016,41,44,3653
2016,41,48,4486
2016,41,2,2910
2016,41,140,2826
2016,41,1065,53234
2016,41,22,1465
2016,41,9,2766
2016,41,571,46943
2016,41,63,6556
2016,41,6,3626
2016,41,55,6941
2016,41,101,24064
2016,41,762,45688
2016,41,40,5397
2016,41,72,9694
2016,41,150,27872
2016,41,236,25338
2016,41,75,5548
2016,41,394,19260
2016,41,87,8228
2016,41,8,3132
2016,41,7,2756
2016,41,81,17975
2016,41,8,3555
2016,41,376,15274
2016,41,110,10672
2016,41,141,14907
2016,41,129,13992
2016,41,2,1254
2016,41,125,20810
2016,41,102,4510
2016,41,25,5980
2016,41,121,16264
2016,41,17,4239
2016,41,54,3861
2016,41,90,8651
2016,41,133,8592
2016,41,571,29247
2016,41,180,22268
2016,41,19,2239
2016,41,1407,85740
2016,41,15,3111
2016,41,218,17951
2016,41,36,3791
2016,41,30,4647
2016,41,224,5129
2016,41,6,314
2016,41,1491,98878
2016,42,153,7664
2016,42,7,1395
2016,42,321,33544
2016,42,45,4510
2016,42,812,53551
2016,42,43,3961
2016,42,41,4072
2016,42,5,2912
2016,42,151,2875
2016,42,1114,56815
2016,42,21,1444
2016,42,10,1786
2016,42,743,49952
2016,42,36,6278
2016,42,4,3417
2016,42,96,7538
2016,42,169,26455
2016,42,767,46266
2016,42,46,5429
2016,42,97,9895
2016,42,198,29217
2016,42,314,24790
2016,42,55,5230
2016,42,424,18537
