REGION,WEEK,YEAR,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
Alabama,40,2016,406,4,1,1.23,0.99,0.25
Arizona,40,2016,133,0,0,0,0,0
Arkansas,40,2016,47,0,0,0,0,0
California,40,2016,668,2,0,0.3,0.3,0
Colorado,40,2016,260,0,0,0,0,0
Connecticut,40,2016,199,3,0,1.51,1.51,0
Delaware,40,2016,40,0,0,0,0,0
Georgia,40,2016,552,6,3,1.63,1.09,0.54
Hawaii,40,2016,188,4,1,2.66,2.13,0.53
Idaho,40,2016,13,0,0,0,0,0
Illinois,40,2016,188,0,1,0.53,0,0.53
Indiana,40,2016,131,1,0,0.76,0.76,0
Iowa,40,2016,64,0,0,0,0,0
Kansas,40,2016,69,0,0,0,0,0
Kentucky,40,2016,240,0,0,0,0,0
Louisiana,40,2016,452,5,3,1.77,1.11,0.66
Maryland,40,2016,82,1,0,1.22,1.22,0
Massachusetts,40,2016,362,1,1,0.55,0.28,0.28
Michigan,40,2016,606,2,1,0.5,0.33,0.17
Minnesota,40,2016,210,2,0,0.95,0.95,0
Mississippi,40,2016,75,0,1,1.33,0,1.33
Missouri,40,2016,536,0,0,0,0,0
Montana,40,2016,86,1,0,1.16,1.16,0
Nebraska,40,2016,54,0,0,0,0,0
New Hampshire,40,2016,21,1,0,4.76,4.76,0
New Mexico,40,2016,176,1,0,0.57,0.57,0
New York,40,2016,1166,8,3,0.94,0.69,0.26
North Carolina,40,2016,155,3,1,2.58,1.94,0.65
North Dakota,40,2016,42,0,0,0,0,0
Ohio,40,2016,807,2,3,0.62,0.25,0.37
Oklahoma,40,2016,117,1,0,0.85,0.85,0
Oregon,40,2016,166,3,0,1.81,1.81,0
Pennsylvania,40,2016,272,0,1,0.37,0,0.37
South Carolina,40,2016,154,0,1,0.65,0,0.65
South Dakota,40,2016,129,1,0,0.78,0.78,0
Tennessee,40,2016,123,0,2,1.63,0,1.63
Texas,40,2016,1122,15,10,2.23,1.34,0.89
Utah,40,2016,395,6,0,1.52,1.52,0
Vermont,40,2016,47,0,0,0,0,0
Virginia,40,2016,213,0,1,0.47,0,0.47
Washington,40,2016,411,11,0,2.68,2.68,0
West Virginia,40,2016,333,0,2,0.6,0,0.6
Wisconsin,40,2016,444,1,0,0.23,0.23,0
Puerto Rico,40,2016,0,0,0,0,0,0
Alabama,41,2016,530,6,7,2.45,1.13,1.32
Arizona,41,2016,138,0,1,0.72,0,0.72
Arkansas,41,2016,60,1,0,1.67,1.67,0
California,41,2016,708,5,0,0.71,0.71,0
Colorado,41,2016,301,2,1,1,0.66,0.33
Connecticut,41,2016,275,1,0,0.36,0.36,0
Delaware,41,2016,37,0,0,0,0,0
Georgia,41,2016,561,8,0,1.43,1.43,0
Hawaii,41,2016,190,5,0,2.63,2.63,0
Idaho,41,2016,15,0,0,0,0,0
Illinois,41,2016,234,0,0,0,0,0
Indiana,41,2016,111,0,1,0.9,0,0.9
Iowa,41,2016,91,0,0,0,0,0
Kansas,41,2016,62,0,0,0,0,0
Kentucky,41,2016,260,2,0,0.77,0.77,0
Louisiana,41,2016,496,5,1,1.21,1.01,0.2
Maryland,41,2016,113,1,0,0.88,0.88,0
Massachusetts,41,2016,417,2,1,0.72,0.48,0.24
Michigan,41,2016,669,3,1,0.6,0.45,0.15
Minnesota,41,2016,215,0,0,0,0,0
Mississippi,41,2016,66,1,0,1.52,1.52,0
Missouri,41,2016,572,1,0,0.17,0.17,0
Montana,41,2016,96,2,0,2.08,2.08,0
Nebraska,41,2016,60,0,0,0,0,0
New Hampshire,41,2016,17,1,0,5.88,5.88,0
New Mexico,41,2016,167,0,1,0.6,0,0.6
New York,41,2016,1135,1,3,0.35,0.09,0.26
North Carolina,41,2016,176,1,1,1.14,0.57,0.57
North Dakota,41,2016,36,1,0,2.78,2.78,0
Ohio,41,2016,974,4,3,0.72,0.41,0.31
Oklahoma,41,2016,143,2,0,1.4,1.4,0
Oregon,41,2016,188,2,0,1.06,1.06,0
Pennsylvania,41,2016,270,0,0,0,0,0
South Carolina,41,2016,179,0,1,0.56,0,0.56
South Dakota,41,2016,108,0,0,0,0,0
Tennessee,41,2016,112,3,0,2.68,2.68,0
Texas,41,2016,1153,10,19,2.52,0.87,1.65
Utah,41,2016,424,5,0,1.18,1.18,0
Vermont,41,2016,68,1,0,1.47,1.47,0
Virginia,41,2016,201,2,1,1.49,1,0.5
Washington,41,2016,413,2,2,0.97,0.48,0.48
West Virginia,41,2016,332,0,0,0,0,0
Wisconsin,41,2016,471,1,2,0.64,0.21,0.42
Puerto Rico,41,2016,0,0,0,0,0,0
Alabama,42,2016,503,3,5,1.59,0.6,0.99
Arizona,42,2016,135,0,1,0.74,0,0.74
Arkansas,42,2016,53,0,0,0,0,0
California,42,2016,719,3,2,0.7,0.42,0.28
Colorado,42,2016,312,1,0,0.32,0.32,0
Connecticut,42,2016,318,0,0,0,0,0
Delaware,42,2016,68,0,0,0,0,0
Georgia,42,2016,595,6,0,1.01,1.01,0
Hawaii,42,2016,160,2,0,1.25,1.25,0
Idaho,42,2016,16,0,0,0,0,0
Illinois,42,2016,269,0,1,0.37,0,0.37
Indiana,42,2016,122,0,0,0,0,0
Iowa,42,2016,93,0,0,0,0,0
Kansas,42,2016,65,0,0,0,0,0
Kentucky,42,2016,251,0,0,0,0,0
Louisiana,42,2016,505,2,1,0.59,0.4,0.2
Maryland,42,2016,103,0,1,0.97,0,0.97
Massachusetts,42,2016,433,1,0,0.23,0.23,0
Michigan,42,2016,732,2,4,0.82,0.27,0.55
Minnesota,42,2016,296,3,0,1.01,1.01,0
Mississippi,42,2016,90,1,1,2.22,1.11,1.11
Missouri,42,2016,577,0,1,0.17,0,0.17
Montana,42,2016,111,1,0,0.9,0.9,0
Nebraska,42,2016,84,0,1,1.19,0,1.19
Nevada,42,2016,12,1,0,8.33,8.33,0
New Hampshire,42,2016,26,0,0,0,0,0
New Mexico,42,2016,171,0,1,0.58,0,0.58
New York,42,2016,1542,11,1,0.78,0.71,0.06
North Carolina,42,2016,216,4,4,3.7,1.85,1.85
North Dakota,42,2016,33,0,0,0,0,0
Ohio,42,2016,948,6,9,1.58,0.63,0.95
Oklahoma,42,2016,166,1,1,1.2,0.6,0.6
Oregon,42,2016,191,5,0,2.62,2.62,0
Pennsylvania,42,2016,286,0,0,0,0,0
South Carolina,42,2016,213,2,0,0.94,0.94,0
South Dakota,42,2016,113,1,0,0.88,0.88,0
Tennessee,42,2016,129,2,1,2.33,1.55,0.78
Texas,42,2016,1152,8,10,1.56,0.69,0.87
Utah,42,2016,439,4,0,0.91,0.91,0
Vermont,42,2016,65,0,0,0,0,0
Virginia,42,2016,191,0,0,0,0,0
Washington,42,2016,396,13,1,3.54,3.28,0.25
West Virginia,42,2016,363,0,0,0,0,0
Wisconsin,42,2016,507,2,0,0.39,0.39,0
Puerto Rico,42,2016,0,0,0,0,0,0
Alabama,43,2016,464,5,1,1.29,1.08,0.22
Arizona,43,2016,125,0,0,0,0,0
Arkansas,43,2016,31,0,0,0,0,0
California,43,2016,698,9,2,1.58,1.29,0.29
Colorado,43,2016,338,2,0,0.59,0.59,0
Connecticut,43,2016,271,0,0,0,0,0
Delaware,43,2016,72,0,0,0,0,0
Georgia,43,2016,638,5,3,1.25,0.78,0.47
Hawaii,43,2016,139,4,0,2.88,2.88,0
Idaho,43,2016,22,0,0,0,0,0
Illinois,43,2016,297,1,0,0.34,0.34,0
Indiana,43,2016,112,0,1,0.89,0,0.89
Iowa,43,2016,118,1,1,1.69,0.85,0.85
Kansas,43,2016,72,0,0,0,0,0
Kentucky,43,2016,276,0,1,0.36,0,0.36
Louisiana,43,2016,545,5,0,0.92,0.92,0
Maryland,43,2016,82,0,0,0,0,0
Massachusetts,43,2016,403,1,2,0.74,0.25,0.5
Michigan,43,2016,735,3,0,0.41,0.41,0
Minnesota,43,2016,310,1,1,0.65,0.32,0.32
Mississippi,43,2016,77,0,0,0,0,0
Missouri,43,2016,616,0,0,0,0,0
Montana,43,2016,90,2,0,2.22,2.22,0
Nebraska,43,2016,79,0,0,0,0,0
Nevada,43,2016,14,1,0,7.14,7.14,0
New Hampshire,43,2016,24,1,0,4.17,4.17,0
New Mexico,43,2016,201,2,0,1,1,0
New York,43,2016,1537,8,4,0.78,0.52,0.26
North Carolina,43,2016,225,3,3,2.67,1.33,1.33
North Dakota,43,2016,18,0,0,0,0,0
Ohio,43,2016,967,0,2,0.21,0,0.21
Oklahoma,43,2016,158,1,0,0.63,0.63,0
Oregon,43,2016,223,13,0,5.83,5.83,0
Pennsylvania,43,2016,305,0,1,0.33,0,0.33
South Carolina,43,2016,217,0,0,0,0,0
South Dakota,43,2016,142,0,0,0,0,0
Tennessee,43,2016,115,1,4,4.35,0.87,3.48
Texas,43,2016,1174,12,18,2.56,1.02,1.53
Utah,43,2016,468,6,0,1.28,1.28,0
Vermont,43,2016,68,0,0,0,0,0
Virginia,43,2016,210,0,0,0,0,0
Washington,43,2016,470,28,2,6.38,5.96,0.43
West Virginia,43,2016,386,0,1,0.26,0,0.26
Wisconsin,43,2016,526,1,1,0.38,0.19,0.19
Puerto Rico,43,2016,0,0,0,0,0,0
Alabama,44,2016,591,15,8,3.89,2.54,1.35
Arizona,44,2016,149,0,0,0,0,0
Arkansas,44,2016,53,0,0,0,0,0
California,44,2016,728,9,0,1.24,1.24,0
Colorado,44,2016,318,3,0,0.94,0.94,0
Connecticut,44,2016,254,4,0,1.57,1.57,0
Delaware,44,2016,72,0,0,0,0,0
Georgia,44,2016,684,6,2,1.17,0.88,0.29
Hawaii,44,2016,190,3,0,1.58,1.58,0
Idaho,44,2016,30,0,0,0,0,0
Illinois,44,2016,261,0,0,0,0,0
Indiana,44,2016,104,0,0,0,0,0
Iowa,44,2016,84,1,2,3.57,1.19,2.38
Kansas,44,2016,52,0,0,0,0,0
Kentucky,44,2016,253,0,0,0,0,0
Louisiana,44,2016,580,7,3,1.72,1.21,0.52
Maryland,44,2016,100,0,0,0,0,0
Massachusetts,44,2016,408,5,2,1.72,1.23,0.49
Michigan,44,2016,771,4,0,0.52,0.52,0
Minnesota,44,2016,311,3,0,0.96,0.96,0
Mississippi,44,2016,80,1,1,2.5,1.25,1.25
Missouri,44,2016,609,0,0,0,0,0
Montana,44,2016,95,2,0,2.11,2.11,0
Nebraska,44,2016,103,0,0,0,0,0
Nevada,44,2016,14,1,1,14.29,7.14,7.14
New Hampshire,44,2016,20,1,1,10,5,5
New Mexico,44,2016,230,0,0,0,0,0
New York,44,2016,1580,12,2,0.89,0.76,0.13
