REGION,WEEK,YEAR,TOTAL,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B,SEASON
Alabama,40,2016,406.0,4.0,1.0,1.23,0.99,0.25,FALL
Arizona,40,2016,133.0,0.0,0.0,0.0,0.0,0.0,FALL
Arkansas,40,2016,47.0,0.0,0.0,0.0,0.0,0.0,FALL
California,40,2016,668.0,2.0,0.0,0.3,0.3,0.0,FALL
Colorado,40,2016,260.0,0.0,0.0,0.0,0.0,0.0,FALL
Connecticut,40,2016,199.0,3.0,0.0,1.51,1.51,0.0,FALL
Delaware,40,2016,40.0,0.0,0.0,0.0,0.0,0.0,FALL
Georgia,40,2016,552.0,6.0,3.0,1.63,1.09,0.54,FALL
Hawaii,40,2016,188.0,4.0,1.0,2.66,2.13,0.53,FALL
Idaho,40,2016,13.0,0.0,0.0,0.0,0.0,0.0,FALL
Illinois,40,2016,188.0,0.0,1.0,0.53,0.0,0.53,FALL
Indiana,40,2016,131.0,1.0,0.0,0.76,0.76,0.0,FALL
Iowa,40,2016,64.0,0.0,0.0,0.0,0.0,0.0,FALL
Kansas,40,2016,69.0,0.0,0.0,0.0,0.0,0.0,FALL
Kentucky,40,2016,240.0,0.0,0.0,0.0,0.0,0.0,FALL
Louisiana,40,2016,452.0,5.0,3.0,1.77,1.11,0.66,FALL
Maryland,40,2016,82.0,1.0,0.0,1.22,1.22,0.0,FALL
Massachusetts,40,2016,362.0,1.0,1.0,0.55,0.28,0.28,FALL
Michigan,40,2016,606.0,2.0,1.0,0.5,0.33,0.17,FALL
Minnesota,40,2016,210.0,2.0,0.0,0.95,0.95,0.0,FALL
Mississippi,40,2016,75.0,0.0,1.0,1.33,0.0,1.33,FALL
Missouri,40,2016,536.0,0.0,0.0,0.0,0.0,0.0,FALL
Montana,40,2016,86.0,1.0,0.0,1.16,1.16,0.0,FALL
Nebraska,40,2016,54.0,0.0,0.0,0.0,0.0,0.0,FALL
New Hampshire,40,2016,21.0,1.0,0.0,4.76,4.76,0.0,FALL
New Mexico,40,2016,176.0,1.0,0.0,0.57,0.57,0.0,FALL
New York,40,2016,1166.0,8.0,3.0,0.94,0.69,0.26,FALL
North Carolina,40,2016,155.0,3.0,1.0,2.58,1.94,0.65,FALL
North Dakota,40,2016,42.0,0.0,0.0,0.0,0.0,0.0,FALL
Ohio,40,2016,807.0,2.0,3.0,0.62,0.25,0.37,FALL
Oklahoma,40,2016,117.0,1.0,0.0,0.85,0.85,0.0,FALL
Oregon,40,2016,166.0,3.0,0.0,1.81,1.81,0.0,FALL
Pennsylvania,40,2016,272.0,0.0,1.0,0.37,0.0,0.37,FALL
South Carolina,40,2016,154.0,0.0,1.0,0.65,0.0,0.65,FALL
South Dakota,40,2016,129.0,1.0,0.0,0.78,0.78,0.0,FALL
Tennessee,40,2016,123.0,0.0,2.0,1.63,0.0,1.63,FALL
Texas,40,2016,1122.0,15.0,10.0,2.23,1.34,0.89,FALL
Utah,40,2016,395.0,6.0,0.0,1.52,1.52,0.0,FALL
Vermont,40,2016,47.0,0.0,0.0,0.0,0.0,0.0,FALL
Virginia,40,2016,213.0,0.0,1.0,0.47,0.0,0.47,FALL
Washington,40,2016,411.0,11.0,0.0,2.68,2.68,0.0,FALL
West Virginia,40,2016,333.0,0.0,2.0,0.6,0.0,0.6,FALL
Wisconsin,40,2016,444.0,1.0,0.0,0.23,0.23,0.0,FALL
Puerto Rico,40,2016,0.0,0.0,0.0,0.0,0.0,0.0,FALL
Alabama,41,2016,530.0,6.0,7.0,2.45,1.13,1.32,FALL
Arizona,41,2016,138.0,0.0,1.0,0.72,0.0,0.72,FALL
Arkansas,41,2016,60.0,1.0,0.0,1.67,1.67,0.0,FALL
California,41,2016,708.0,5.0,0.0,0.71,0.71,0.0,FALL
Colorado,41,2016,301.0,2.0,1.0,1.0,0.66,0.33,FALL
Connecticut,41,2016,275.0,1.0,0.0,0.36,0.36,0.0,FALL
Delaware,41,2016,37.0,0.0,0.0,0.0,0.0,0.0,FALL
Georgia,41,2016,561.0,8.0,0.0,1.43,1.43,0.0,FALL
Hawaii,41,2016,190.0,5.0,0.0,2.63,2.63,0.0,FALL
Idaho,41,2016,15.0,0.0,0.0,0.0,0.0,0.0,FALL
Illinois,41,2016,234.0,0.0,0.0,0.0,0.0,0.0,FALL
Indiana,41,2016,111.0,0.0,1.0,0.9,0.0,0.9,FALL
Iowa,41,2016,91.0,0.0,0.0,0.0,0.0,0.0,FALL
Kansas,41,2016,62.0,0.0,0.0,0.0,0.0,0.0,FALL
Kentucky,41,2016,260.0,2.0,0.0,0.77,0.77,0.0,FALL
Louisiana,41,2016,496.0,5.0,1.0,1.21,1.01,0.2,FALL
Maryland,41,2016,113.0,1.0,0.0,0.88,0.88,0.0,FALL
Massachusetts,41,2016,417.0,2.0,1.0,0.72,0.48,0.24,FALL
Michigan,41,2016,669.0,3.0,1.0,0.6,0.45,0.15,FALL
Minnesota,41,2016,215.0,0.0,0.0,0.0,0.0,0.0,FALL
Mississippi,41,2016,66.0,1.0,0.0,1.52,1.52,0.0,FALL
Missouri,41,2016,572.0,1.0,0.0,0.17,0.17,0.0,FALL
Montana,41,2016,96.0,2.0,0.0,2.08,2.08,0.0,FALL
Nebraska,41,2016,60.0,0.0,0.0,0.0,0.0,0.0,FALL
New Hampshire,41,2016,17.0,1.0,0.0,5.88,5.88,0.0,FALL
New Mexico,41,2016,167.0,0.0,1.0,0.6,0.0,0.6,FALL
New York,41,2016,1135.0,1.0,3.0,0.35,0.09,0.26,FALL
North Carolina,41,2016,176.0,1.0,1.0,1.14,0.57,0.57,FALL
North Dakota,41,2016,36.0,1.0,0.0,2.78,2.78,0.0,FALL
Ohio,41,2016,974.0,4.0,3.0,0.72,0.41,0.31,FALL
Oklahoma,41,2016,143.0,2.0,0.0,1.4,1.4,0.0,FALL
Oregon,41,2016,188.0,2.0,0.0,1.06,1.06,0.0,FALL
Pennsylvania,41,2016,270.0,0.0,0.0,0.0,0.0,0.0,FALL
South Carolina,41,2016,179.0,0.0,1.0,0.56,0.0,0.56,FALL
South Dakota,41,2016,108.0,0.0,0.0,0.0,0.0,0.0,FALL
Tennessee,41,2016,112.0,3.0,0.0,2.68,2.68,0.0,FALL
Texas,41,2016,1153.0,10.0,19.0,2.52,0.87,1.65,FALL
Utah,41,2016,424.0,5.0,0.0,1.18,1.18,0.0,FALL
Vermont,41,2016,68.0,1.0,0.0,1.47,1.47,0.0,FALL
Virginia,41,2016,201.0,2.0,1.0,1.49,1.0,0.5,FALL
Washington,41,2016,413.0,2.0,2.0,0.97,0.48,0.48,FALL
West Virginia,41,2016,332.0,0.0,0.0,0.0,0.0,0.0,FALL
Wisconsin,41,2016,471.0,1.0,2.0,0.64,0.21,0.42,FALL
Puerto Rico,41,2016,0.0,0.0,0.0,0.0,0.0,0.0,FALL
Alabama,42,2016,503.0,3.0,5.0,1.59,0.6,0.99,FALL
Arizona,42,2016,135.0,0.0,1.0,0.74,0.0,0.74,FALL
Arkansas,42,2016,53.0,0.0,0.0,0.0,0.0,0.0,FALL
California,42,2016,719.0,3.0,2.0,0.7,0.42,0.28,FALL
Colorado,42,2016,312.0,1.0,0.0,0.32,0.32,0.0,FALL
Connecticut,42,2016,318.0,0.0,0.0,0.0,0.0,0.0,FALL
Delaware,42,2016,68.0,0.0,0.0,0.0,0.0,0.0,FALL
Georgia,42,2016,595.0,6.0,0.0,1.01,1.01,0.0,FALL
Hawaii,42,2016,160.0,2.0,0.0,1.25,1.25,0.0,FALL
Idaho,42,2016,16.0,0.0,0.0,0.0,0.0,0.0,FALL
Illinois,42,2016,269.0,0.0,1.0,0.37,0.0,0.37,FALL
Indiana,42,2016,122.0,0.0,0.0,0.0,0.0,0.0,FALL
Iowa,42,2016,93.0,0.0,0.0,0.0,0.0,0.0,FALL
Kansas,42,2016,65.0,0.0,0.0,0.0,0.0,0.0,FALL
Kentucky,42,2016,251.0,0.0,0.0,0.0,0.0,0.0,FALL
Louisiana,42,2016,505.0,2.0,1.0,0.59,0.4,0.2,FALL
Maryland,42,2016,103.0,0.0,1.0,0.97,0.0,0.97,FALL
Massachusetts,42,2016,433.0,1.0,0.0,0.23,0.23,0.0,FALL
Michigan,42,2016,732.0,2.0,4.0,0.82,0.27,0.55,FALL
